Grüne	CDU	AfD	SPD	FDP	Linke	Piraten	PARTEI	FW	DKP	Basis	DiB	EfA	Human	Klima	Gesund	ÖDP	MW	BC	W2020	Volt
0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	-1	-1	-1	-1	-1
0	-1	-1	-1	-1	1	0	1	-1	1	-1	0	-1	-1	1	0	1	0	-1	-1	-1
-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	0	-1	-1	1	-1	-1
1	1	1	1	-1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1
1	1	1	1	1	-1	-1	1	1	-1	0	0	1	1	0	0	1	1	1	1	1
1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	1	-1	-1
1	-1	-1	1	-1	1	-1	1	-1	1	1	1	-1	0	1	0	1	1	-1	-1	1
-1	1	0	1	1	-1	-1	-1	1	-1	0	-1	1	-1	-1	0	0	0	1	0	-1
-1	0	1	-1	1	-1	-1	-1	-1	-1	-1	0	1	-1	-1	0	-1	1	1	1	-1
1	-1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	-1	1	0	-1	1	-1	-1	1
-1	-1	-1	-1	-1	1	1	1	-1	1	1	1	1	1	0	0	-1	1	-1	-1	1
1	1	-1	-1	1	-1	-1	0	1	-1	-1	0	1	-1	0	0	-1	-1	0	0	-1
0	-1	-1	-1	-1	1	1	1	1	1	1	1	-1	0	0	0	-1	1	-1	1	-1
1	0	-1	1	-1	1	1	0	-1	1	0	1	-1	1	0	0	-1	1	-1	1	1
-1	1	1	-1	1	-1	-1	-1	1	-1	0	-1	1	-1	-1	0	-1	0	1	0	-1
-1	-1	-1	1	-1	1	0	1	1	1	-1	0	1	-1	1	0	1	1	-1	-1	1
-1	-1	-1	-1	-1	1	1	1	-1	1	1	1	1	-1	1	0	1	1	-1	1	-1
-1	1	1	-1	-1	-1	-1	-1	1	-1	0	0	1	-1	0	0	1	1	1	1	-1
1	-1	-1	1	-1	1	1	1	-1	1	-1	1	1	1	1	0	1	1	1	1	1
1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1
-1	1	-1	-1	1	1	1	1	1	1	0	1	-1	1	0	0	-1	-1	-1	-1	1
-1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	1	-1	-1	-1	-1
-1	-1	-1	1	-1	1	1	1	1	1	1	1	1	1	1	0	-1	0	-1	1	1
1	1	-1	1	1	1	1	1	1	1	-1	1	1	1	0	0	1	0	1	1	1
1	-1	-1	1	-1	1	-1	1	-1	1	-1	0	-1	1	1	0	1	0	-1	-1	1
-1	1	1	-1	1	-1	-1	-1	0	-1	-1	-1	1	0	0	0	1	-1	1	-1	-1
1	1	-1	1	1	0	0	1	1	-1	-1	1	-1	1	1	0	0	-1	0	-1	1
-1	-1	-1	1	1	1	1	1	-1	1	0	1	-1	1	1	0	1	-1	-1	-1	1
1	1	-1	1	-1	1	1	1	1	1	1	1	0	1	1	0	1	0	-1	-1	1
0	1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	-1	1	-1	1
1	-1	0	1	-1	1	1	1	0	-1	0	1	-1	1	1	0	0	-1	-1	-1	1
1	1	1	1	1	0	-1	1	1	-1	0	1	1	0	1	0	1	0	1	1	1
0	-1	-1	1	-1	1	0	1	0	1	-1	1	1	-1	0	0	1	1	-1	-1	-1
1	1	0	1	1	0	0	1	1	-1	-1	-1	1	1	-1	0	-1	0	-1	0	1
1	1	0	1	1	1	1	1	1	-1	-1	0	0	1	0	0	-1	-1	0	-1	1
1	-1	-1	1	1	1	1	1	-1	1	1	1	-1	1	1	0	1	0	-1	-1	1
1	1	1	1	1	1	-1	1	1	-1	-1	1	1	1	1	0	1	1	-1	1	-1
1	-1	-1	-1	-1	1	0	1	0	1	-1	1	-1	-1	1	0	1	0	-1	-1	-1
